accommodates;bathrooms;bedrooms;calculated_host_listings_count;guests_included;host_listings_count;latitude;longitude;minimum_nights;number_of_reviews;d_centre;instant_bookable_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;price_category
3;1;2;1;2;1;52,36980235;4,85893013;3;3;2,938978638;0;1;0;0;Low
4;1;3;1;1;1;52,35364133;4,904810282;2;27;2,862355876;0;1;0;0;Medium
2;1;1;2;2;2;52,36714323;4,982493657;2;13;5,792076334;0;0;1;0;Low
3;1;1;1;2;1;52,35116571;4,894002216;3;6;3,13580346;1;1;0;0;Low
2;1;1;1;1;1;52,35441892;4,934172844;6;34;3,624058424;0;0;1;0;Low
2;1;1;1;1;1;52,38433684;4,916335745;2;4;1,281432194;0;1;0;0;Low
2;1;1;1;1;1;52,4083004;4,891539891;2;0;3,278966615;0;0;1;0;Low
4;1;3;1;1;1;52,34528011;4,932132631;7;0;4,373032752;1;1;0;0;Low
3;1;1;1;2;1;52,38841318;4,929101253;3;13;2,258467671;0;1;0;0;Low
5;1,5;3;1;4;1;52,35343796;4,885026725;2;3;3,023900665;0;1;0;0;Mid-High
2;1;1;1;1;1;52,35788151;4,893463112;6;6;2,402172147;0;1;0;0;Medium
4;1;3;2;4;2;52,41965715;4,902989647;5;10;4,503496521;0;1;0;0;Medium
4;1,5;2;1;2;1;52,36361861;4,934615248;3;13;2,948248091;0;1;0;0;Medium
4;1;2;1;2;1;52,35807586;4,910248285;2;1;2,458322546;0;1;0;0;Medium
4;1;2;1;2;1;52,35489108;4,846659881;2;1;4,484627419;0;1;0;0;Low
2;1;0;1;1;1;52,38385492;4,893042573;2;113;0,675736819;0;1;0;0;Low
2;1;1;1;1;1;52,35204664;4,891656745;3;1;3,061981747;1;1;0;0;Medium
2;1;1;1;1;1;52,3522766;4,78237612;3;14;8,487138747;0;0;1;0;Low
2;1;0;1;1;1;52,33996957;4,920576834;4;9;4,588446096;1;1;0;0;Medium
2;1;1;1;1;1;52,37618894;4,902053695;2;42;0,37788539;0;1;0;0;Medium
2;1;1;1;1;1;52,36489516;4,853085877;1;2;3,522736857;0;0;1;0;Low
2;1;1;1;1;1;52,37735856;4,837728731;3;18;4,19056414;0;0;1;0;Low
3;1;1;1;2;1;52,35593913;4,888987328;2;10;2,679061385;0;1;0;0;Low
2;1;1;1;1;1;52,37922524;4,874056045;7;3;1,721299504;0;1;0;0;Low
2;1;1;1;1;1;52,35948926;4,85504319;2;15;3,723252437;0;1;0;0;Low
4;1;1;2;2;2;52,31907982;4,954822396;1;3;7,665192331;1;0;1;0;Low
4;2;4;2;6;3;52,37431971;4,948908841;4;6;3,399821689;0;1;0;0;Highest
2;1;2;1;1;1;52,35322378;5,001835586;30;4;7,523860064;0;1;0;0;Low
8;1;4;3;10;3;52,36437083;4,868734033;2;28;2,654995444;1;1;0;0;Highest
2;1;1;1;1;1;52,35829913;4,782477971;2;6;8,267895686;0;0;1;0;Low
3;1;2;1;2;1;52,39299321;4,942986098;2;0;3,328616171;1;1;0;0;Low
2;1;1;2;1;2;52,37904044;4,80191105;1;29;6,615240962;1;0;1;0;Low
6;1,5;4;1;1;1;52,35687486;4,932592589;3;6;3,34836044;0;1;0;0;Mid-High
2;1;1;1;1;1;52,35045338;4,914070646;7;7;3,344200184;0;1;0;0;Low
2;1;1;1;1;1;52,39868149;4,93662922;4;2;3,325108009;0;1;0;0;Low
4;1;2;1;1;1;52,37188444;4,945157776;4;0;3,2065482;0;1;0;0;Low
4;2;2;2;1;4;52,35784392;4,89776903;3;0;2,374653672;0;1;0;0;Highest
2;1;1;2;1;2;52,35605915;4,796459436;2;3;7,444628077;0;0;1;0;Low
2;1;0;1;1;1;52,35115757;4,89526279;10;30;3,127809751;0;1;0;0;Low
3;1;1;1;2;2;52,41696405;4,891143154;5;7;4,23520525;0;1;0;0;Low
2;1,5;2;3;1;3;52,35479961;4,918184925;3;68;2,994139425;0;1;0;0;Low
3;1;1;1;1;1;52,38891004;4,915749524;1;5;1,546618289;0;0;1;0;Low
4;1;2;1;4;1;52,37725483;4,895766462;2;35;0,328622364;0;1;0;0;Mid-High
2;2;1;3;1;4;52,36598877;4,873698281;1;5;2,280270117;0;0;1;0;Low
2;1;1;1;2;1;52,34484916;4,897583881;2;5;3,818076912;0;1;0;0;Low
5;2;2;1;4;1;52,36881893;4,915568098;4;1;1,589500327;1;1;0;0;Mid-High
2;1;1;9;1;9;52,37524196;4,880815512;3;23;1,336830602;0;0;1;0;Low
2;1;1;1;1;1;52,3990162;4,92994526;2;22;3,022773808;0;0;1;0;Low
4;2;1;1;1;1;52,3653957;4,89176842;2;1;1,618543455;0;0;1;0;Mid-High
2;1;1;2;1;2;52,36455725;4,851488662;1;89;3,636434346;0;0;1;0;Low
4;1,5;1;91;1;103;52,36905796;4,878607633;2;0;1,806428528;1;1;0;0;Highest
2;1;1;19;1;21;52,36841931;4,931056301;2;0;2,456757058;1;1;0;0;Low
2;4;1;8;1;8;52,39369731;4,882746579;3;3;1,969723913;0;0;1;0;Low
2;1;1;1;1;1;52,36196136;4,853509647;6;8;3,65681956;0;1;0;0;Low
2;1;1;1;1;1;52,36093071;4,855216139;2;0;3,621617589;0;1;0;0;Low
